以	a1olj1oljj4yljj4
阿尔山市	aess1
阿尔泰山	aets1
艾条	aetw1
爱尔维修	aewx1
艾叶	aeyi1
鞍	af1afn1afns1ofns1
鞍部	afbh1
案发地点	afdd1
案发当天	afdt1
埃菲尔铁塔	afet1
艾菲尔铁塔	afet2
鞍钢	afgy1
鞍座	afih1afzh1
鞍子	afiv1afzv1
阿伏加德罗	afjl1
阿伏加德罗常数	afjs1
鞍马	afmx1
鞍前	afqm1afum1
安抚人心	afrx1
安分守己	afsj1
鞍山	afso1
艾发衰容	afsr1
鞍山市	afss1
案发现场	afxc1
熬	ag1agmm1*ogmm6
遨	ag2agn1agnn1ognn9
獒	aga1agak1ogak1
熬不过	agbg1
敖包	agbw1
熬成	agca1
熬出头	agct1
熬出	agcv1
按规定办	agdb1
熬得住	agdi1agdz1
熬到	agds1
按规定办事	agds2
熬到头	agdt1
聱	agf1agfd1kgfd1ogfd2
熬过	aggf1
熬过去	aggq1aggu1
敖汉	aghd1
敖汉旗	aghq1aghu1
爱国华侨	aghq2*aghu2*
熬好	aghs1
螯合物	aghw1
熬粥	agib1agzb1
熬煮	agif1agzf1
爱国主义精神	agis1agzs1
熬制	agit1agzt1
爱国战线	agix1agzx1
爱国主义	agiy1agzy1
按国家有关规定	agjd1
熬煎	agjm1
爱国精神	agjs1
爱岗敬业	agjy1
爱国敬业	agjy2
爱国力量	agll1
瑷	agm1agma1ogma1
熬年头	agnt1
螯	ago1agok1kgo1kgok1ogok6
嶅	agoi1ogoi1
爱国侨胞	agqb1agub1
爱国青年	agqn1agun1
爱国如家	agrj1
爱国热情	agrq1agru1
爱国人士	agrs1
奥古斯丁	agsd1
爱国守法	agsf1
熬更守夜	agsy1
敖	agt1agtk1agtm1ogtk1ogtm2
爱国同胞	agtb1
熬汤	agtd1
鳌头	agtn1
爱国统一战线	agtx1
鳌	agw1agwo1ogwd3ogwo1
爱国卫生运动	agwd1
爱国卫生	agws1
骜	agx1agxd2*kgx1kgxd1ogxd1
爱国行动	agxd1
爱管闲事	agxs1
鏊	agy1agyy1ogy2ogyy2
遨游	agyd1
爱国运动	agyd2
熬药	agye1
熬夜	agyh1
哀	ah1ahiw1*ahw1ahwk1ohiw1ohsk10
癌	ah2ahi1ahio1ohio1
庵	aha1ahao1ohao1
癌变	ahbh1
爱护备至	ahbi1ahbz1
鏖兵	ahbr1
哀鸿遍野	ahby1
哀愁	ahct1
哀悼	ahdn1
安徽大学	ahdx1
廒	ahg1ahgt2*khg1khgt1ohgt1
哀歌	ahgf1
爱好广泛	ahgf2
哀告	ahgt1
爱护公物	ahgw1
哀号	ahh1ahhi2*
哀鸿	ahhd1
哀嚎	ahhi1
爱好和平	ahhp1
哀哉	ahif1ahzf1
癌症	ahih1ahzh1
癌肿	ahiv1ahzv1
鏖战	ahiy1ahzy1
哀叫	ahji1
爱恨交织	ahji2ahjz1
爱恨交加	ahjj1
哀矜	ahjl1
癌基因	ahjy1
霭	ahl1ahlr1ohlr1
哀牢	ahl2ahln2*
癌瘤	ahlh1
哀怜	ahln1
艾哈迈德	ahmd1
癌魔	ahmh1
哀鸣	ahmi1
爱恨情仇	ahqc1ahuc1
哀泣	ahqd1ahud1
哀求	ahqf1ahuf1
哀切	ahqs1ahus1
阿合奇县	ahqx1ahux1
安徽日报	ahrb1
哀荣	ahre1
哀伤	ahsj1
哀思	ahso1
哀痛	ahth1
哀叹	ahti1
哀恸	ahtn1
哀婉	ahws1
癌细胞	ahxb1
癌性	ahxn1
爱好学习	ahxx1
鏖	ahy1ahyy1ohy5ohyy2
哀乐	ahy2ahyw2*
爱好运动	ahyd1
哀艳	ahyg1
哀怨	ahyw1
啊	ai1aiv1aivf1oivf1
唉	ai2ail1ailt1oilt1
嚣	aia1aiai2*oiai4xia1xiai2*
嗷嗷	aiai1
嗷嗷叫	aiaj1
唵	aiao1oiao1
嗄	aiao2aiaw1oiao2oiaw1sia1siaw1
安置补偿	aibc1azbc1
艾滋病毒	aibd1azbd1
呆	aic1aicc1dic1dicc1oic2oicc3
按照常规	aicg1azcg1
安装次数	aics1azcs1
按照传统	aict1azct1
暗中调查	aidc1azdc1
按制度办事	aids1azds1
暗自得意	aidy1azdy1
哎	aie1aiem1oiem1
呵	aif1aifi1hi3hif1hifi1kif1kifi2*oifi9
安知非福	aiff1azff1
嗳腐	aifh1
爱憎分明	aifm1azfm1
按照法律程序	aifx1azfx1
嗷	aig1aigt1oigt2
暗中观察	aigc1azgc1
按照国际惯例	aigl1azgl1
啊哈	aihi1
爱咋咋的	aiid1azzd1
按质论价	ailj1azlj1
嗳	aim1aima1oima1
吖	aimi1oimi2yim1yimi1
嗌	aimo1oimo1yimo1
暗中摸索	aims1azms1
按资排辈	aipb1azpb1
暗中盘算	aips1azps1
嗳气	aiqt1aiut1
安之若素	airs1azrs1
爱之深，痛之切	aisq1aisu1azsq1azsu1
爱之深，责之切	aisq2aisu2azsq2azsu2
爱之深，恨之切	aisq3aisu3azsq3azsu3
阿兹特克	aitk1aztk1
癌症晚期	aiwq1aiwu1azwq1azwu1
安枕无忧	aiwy1azwy1
暗中相助	aixi1azxz1
哎哟	aiy1aiyi3*
唉呀	aiy2aiyi2*
哎呀	aiyi1
哎哟喂	aiyw1
俺	aj1aja1ajao2*ojao8
傲	aj2ajg1ajgt1ojgt1
挨家挨户	ajah1
傲岸	ajao1
按揭贷款	ajdk1
俺的	ajdr1
安居工程	ajgc1
傲骨	ajgo1
按揭合同	ajht1
挨家逐户	ajih1ajzh1
俺家	ajjn1
安家落户	ajlh1
按揭利率	ajll1
按揭利息	ajlx1
安居乐业	ajly1
安家立业	ajly2
阿基米德	ajmd1
俺们	ajmj1
傲慢	ajmn1
暗箭难防	ajnf1
盦	ajo1ajod1ojfo1ojod20
傲气	ajqt1ajut1
按经取穴	ajqx1ajux1
傲人	ajrj1
安静入睡	ajrs1
傲然	ajrv1ajrw1
傲世	ajsf1
傲视	ajsl1
暗箭伤人	ajsr1
按揭手续	ajsx1
傲物	ajwt1
暗礁险滩	ajxt1
按	ak1akn1akns1okns1
挨	ak2akl1aklt1oklt1
捱	aka1akau1okau1
按部	akbh1
挨边	akbn1akbz1
按兵	akbr1
挨次	akch1
按此	akcy1
挨斗	akd1akdn2*
按动	akdg1
挨冻	akdh1
按倒	akdj1
挨打	akdk1
拗断	akdm1
挨刀	akdn1akdz1
挨到	akds1
按钉	akdy1
挨饿	akew1
挨罚	akfo1
挨个儿	akge1
挨过	akgf1
挨个	akgj1
揞	akh1akhr1okhr1
挨户	akhl1
按回	akho1
按在	akia1akza1
挨整	akif1akzf1
按章	akih1akzh1
按住	akij1akzj1
挨揍	akik1akzk1
挨着	akim1akzm1
挨宰	akin1akzn1
按质	akiq1akzq1
按照	akir1akzr1
挨浇	akjd1
按件	akjj1
按揭	akjk1
挨家	akjn1
挨近	akjq1
按键式	akjs1
按季	akjt1
按级	akjx1
按键	akjy1
挨剋	akkf1
拗开	akkg1
拗口	akki1
按扣	akkk1
拗口令	akkl1
按劳	akle1
按理	aklg1
阿喀琉斯之踵	akli1aklz1
按例	aklj1
奥克拉荷马	aklm1
按量	aklr1
阿喀琉斯	akls1
按铃	akly1
按摩	akmh1
挨骂	akmi1
挨门	akmj1
按摩器	akmq1akmu1
按摩室	akms1
按脉	akmv1
按捺	aknk1
按年	aknt1
按钮	akny1
挨批	akpk1
按期	akqf1akuf1
按人	akrj1
按入	akrm1
按日	akrr1
阿肯色州	aksi1aksz1
按说	aksl1
按时	aksr1
阿克苏市	akss1
碍口识羞	aksx1
阿克塞哈萨克族自治县	aksx2
按上	aksy1
按天	aktg1
按图	akto1
阿克陶县	aktx1
按蚊	akwo1
拗	akx1akxn1akxz1nkx1nkxn1nkxz1okxn1okxz1
按下	akxf1
按需	akxh1
按响	akxi1
按压	akya1
按语	akyl1
按要求	akyq1akyu1
按月	akyv1
袄	al1alt1altk1oltk13xltk1
谙	al2alh1alhr1olhr1
阿里巴巴	albb1
阿拉伯半岛	albd1
阿拉伯联合酋长国	albg1
阿拉伯海	albh1
阿拉伯数字	albi1albz1
阿拉伯国家	albj1
爱理不理	albl1
阿拉伯人	albr1
奥林巴斯	albs1
阿拉伯语	alby1
阿拉尔市	ales1
按劳付酬	alfc1
按劳分配	alfp1
阿拉法特	alft1
案例分析	alfx1
安理会常任理事国	alhg1
安老怀少	alhs1
案例教学	aljx1
阿鲁科尔沁旗	alkq1
阿拉木图	almt1
奥里诺科河	alnh1
奥里诺科	alnk1
奥里诺科平原	alny1
奥林匹克运动会	alph1
奥林匹克	alpk1
奥林匹斯	alps1
奥林匹亚	alpy1
按劳取酬	alqc1aluc1
阿拉斯加半岛	alsd1
阿留申群岛	alsd2
谙熟	alsh1
阿拉斯加	alsj1
阿拉山口	alsk1
阿拉善盟	alsm1
阿拉善左旗	alsq1
阿拉善右旗	alsq2
阿拉山口市	alss1
阿勒泰市	alts1
谙习	alxl1
爱	am1ama1amal1omal1
阿猫阿狗	amag1
挨门挨户	amah1
阿米巴痢疾	ambj1
爱才	amcf1
爱吃	amci1
爱财	amco1
爱车	amcs1
爱称	amct1
爱巢	amcx1
爱丁堡	amdb1
爱豆	amdd1
爱戴	amdf1
爱德华	amdh1
爱的	amdr1
爱迪生	amds1
哀莫大于心死	amds2*
爱打听	amdt1
阿穆尔河	ameh1
爱尔兰	amel1
爱抚	amfk1
爱妃	amfs1
爱过	amgf1
爱国者	amgi1amgz1
爱国	amgo1
安民告示	amgs1
爱国心	amgx1
爱河	amhd1
爱花	amhe1
爱荷华	amhh1
爱好者	amhi1amhz1
爱护	amhk1
爱火	amhm1
爱恨	amhn1
爱好	amhs1
爱滋病	amib1amzb1
爱滋	amid1amzd1
爱祖国	amig1amzg1
挨门逐户	amih1amzh1
爱美之心人皆有之	amii1amzz1
爱做	amij1amzj1
爱着	amim1amzm1
爱憎	amin1amzn1
爱子	amiv1amzv1
爱美之心	amix1amzx1
爱机	amjc1
爱将	amjh1
爱军	amjl1
爱家	amjn1
爱姬	amjs1
爱哭	amki1
爱看	amkk1
奥密克戎	amkr1
鞍马劳顿	amld1
爱聊	amlf1
爱恋	amlh1
爱侣	amlj1
爱郎	amll1
爱怜	amln1
爱丽丝	amls1
爱乐	amlw1
爱立信	amlx1
爱民	ammb1
爱慕	amme1
爱玛	ammg1
爱面子	ammi1ammz1
爱美	ammm1
爱民区	ammq1ammu1
爱默生	amms1
爱闹	amn1amnj2*
爱莫能助	amni1amnz1
爱你	amnj1
爱女	amns1
爱鸟	amnw1
爱拼	ampk1
爱普生	amps1
爱犬	amqa1amua1
爱琴海	amqh1amuh1
爱情	amqn1amun1
爱情片	amqp1amup1
爱妻	amqs1amus1
爱去	amqu1amuu1
爱卿	amqw1amuw1
爱钱	amqy1amuy1
爱奇艺	amqy2amuy2
爱民如子	amri1amrz1
爱人	amrj1
爱人民	amrm1
爱热闹	amrn1
阿姆斯特丹	amsd1
爱思考	amsk1
爱神	amsl1
阿姆斯特朗	amsl2
爱谁谁	amss1
爱啥啥	amss2
爱书	amsx1
爱上	amsy1
阿弥陀佛	amtf1emtf1
爱听	amti1
爱他	amtj1
爱徒	amtk1
澳门特别行政区	amtq1amtu1
爱她	amts1
爱玩	amwg1
爱问	amwj1
傲慢无礼	amwl1
奥妙无穷	amwq1amwu1
爱我	amwt1
爱心	amxl1
阿莫西林	amxl2
爱惜	amxn1
爱慕虚荣	amxr1
爱笑	amxt1
爱乡	amxx1
爱意	amyh1
傲慢与偏见	amyj1
爱欲	amym1
爱婴	amyo1
爱与	amys1
爱用	amyw1
爱幼	amyx1
安	an1ans1anss2*onss2
案	an2anc1ancc1onc6oncc9onsc1
案板	anbc1
安邦	anbg1
安瓿	anbh1
按捺不住	anbi1anbz1
安保	anbj1
安插	anck1
案底	and1andh2*
安东尼	and2andn2
安达	anda1
安道尔	ande1
安度	andh1
安打	andk1
安得	andk2*
安大略	andl1
安定	andn1
安迪	ando1
安定区	andq1andu1
案牍	andr1
安顿	ands1
安德森	ands2
安达市	ands3
安多	andw1
安达信	andx1
安多县	andx2
安放	anfh1
安抚	anfk1
安福	anfl1
安分	anfm1
案发	anfn1anfz1
安防	anfv1
案犯	anfw1
安福县	anfx1
安规	angg1
安哥拉	angl1
安国	ango1
安国市	angs1
安徽省	anh1anhs1
安魂	anhg1
安化	anhj1
安徽	anhk1
懊悔	anhn1
安魂曲	anhq1anhu1
安徽人	anhr1
安好	anhs2*
安化县	anhx1
安在	ania1anza1
安装包	anib1anzb1
安枕	anic1anzc1
安泽	anid1anzd1
安葬	anie1anze1
安装	anih1anzh1
安坐	anij1anzj1
安置	anio1anzo1
安装盘	anip1anzp1
安知	anit1anzt1
案子	aniv1anzv1
安泽县	anix1anzx1
安卓	aniy1anzy1
安居	anjb1
安检	anjc1
安家费	anjf1
安静	anjg1
案件	anjj1
案卷	anjm1
安家	anjn1
安监	anju1
安吉	anju2
案几	anjw1
安吉县	anjx1
阿那克西曼德	ankd1
安可	ankf1
安康	ankh1
安卡拉	ankl1
阿那克萨哥拉	ankl2*
安康市	anks1
安禄山	anl1anls2
安乐窝	anl2anlw2
安龙	anla1
安澜	anld1
安理会	anlh1
案例	anlj1
安拉	anlk1
安乐死	anls1
安陆市	anls3
安利	anlt1
安陆	anlv1
安乐	anlw1
安龙县	anlx1
安乐椅	anly1
安民	anmb1
安谧	anml1
安眠	anmo1
安曼	anmr1
安眠药	anmy1
安宁	ann1annn2*
安妮	ann2anns2*
安南	annf1
安能	annl1
懊恼	annn1
安内	anno1
安宁区	annq1annu1
安娜	anns1
安宁市	anns3
安排表	anpb1
安普敦	anpd1
安平	anph1
安培计	anpj1
安排	anpk1
安贫	anpm1
安培	anpu1
安排下	anpx1
安平县	anpx2
安全感	anq1anqg2anu1anug2
安全局	anq2anqj2anu2anuj2
安全区	anq3anqq2anuu2
安全部	anqb1anub1
安全带	anqd1anud1
安琪儿	anqe1anue1
安全阀	anqf1anuf1
安琪	anqg1anug1
安庆	anqh1anuh1
安全	anqj1anuj1
安全帽	anqm1anum1
案情	anqn1anun1
安全期	anqq1anuu1
安丘	anqr1anur1
安庆市	anqs1anus1
安丘市	anqs2anus2
安全套	anqt1anut1
安全性	anqx1anux1
懊	anr1anra1onra1
安仁	anrj1
安然	anrv1anrw1
安内攘外	anrw2
安仁县	anrx1
安设	ans2ansl2*
安顺	ans3ansr2*
懊丧	ansf1
安神	ansl1
案首	ansm1
安塞	ansn1
安睡	anso1
安身	ansr1
安顺市	anss1
安适	anst1
安生	anst2*
安塞县	ansx1
安上	ansy1
安泰	antg1
安踏	anti1
案头	antn1
安图	anto1
安徒生	ants1
安胎	antv1
安图县	antx1
安胎药	anty1
安纳托利亚高原	anty2
安慰	anwb1
安卧	anwf1
安委会	anwh1
安慰剂	anwj1
安稳	anwt1
安危	anww1
傲睨万物	anww2
安慰性	anwx1
安心	anx1anxl2*
安歇	anx2anxr2*
安溪	anxd1
安西	anxf1
安享	anxh1
安新	anxh2
安闲	anxj1
安祥	anxl1
安县	anxo1
安息	anxr1
安息香	anxx1
安新县	anxx2
安溪县	anxx3
安乡	anxx4
安乡县	anxx5
安源	anyd1
安营	anye1
安于	anyg1
安远	anyg2
安义	anym1
案由	anyo1
安源区	anyq1anyu1
安岳	anyr1
安阳市	anys1
安阳	anyv1
安逸	anyw1
安义县	anyx1
安远县	anyx2
安阳县	anyx3
安岳县	anyx4
岸	ao1aoa1aoag1ooag7
凹	ao2aod1aodd2*ood12oodd23wod1wodd1
黯	ao3aoh1aohr1oohr10
岸边	aobn1aobz1
凹版	aobr1
凹槽	aocc1
凹处	aocw1
黯淡	aodd1
凹地	aodu1
岸防	aofv1
盎格鲁	aogl1
岸谷	aogm1
凹痕	aohh1
岸基	aojf1
凹进	aojg1
凹镜	aojy1
凹坑	aoku1
凹面	aoma1
凹面镜	aomj1
盎	aoo1aood1oood32
岸炮	aopm1
盎然	aor1aorv2*aorw2*
凹入	aorm1
黯然	aorv1aorw1
盎司	aosb1
盎斯	aosf1
岸上	aosy1
岸滩	aotd1
凹透镜	aotj1
凹凸	aoty1
凹陷处	aoxc1
凹下	aoxf1
凹形	aoxg1
凹陷	aoxv1
凹印	aoyw1
安贫乐道	apld1
哀其不幸	aqbx1aubx1
安全出行	aqcx1aucx1
按期付款	aqfk1aufk1
按期归还	aqgh1augh1
安全座椅	aqiy1aqzy1auiy1auzy1
爱情价更高	aqjg1aujg1
安全驾驶	aqjs1aujs1
鞍前马后	aqmh1aumh1
阿奇霉素	aqms1aums1
按期完成	aqwc1auwc1
暗	ar1arh1arhr1orhr1
昂	ar2arw1arwv1orwv2
奥	ara1arak1orak10
皑皑	ara2arar2*
暗暗	arar1
暧暧	arar3*
暗堡	arbj1
暗补	arbl1
奥巴马	arbm1
暗沉沉	arcc1
暗潮	arcd1
暗藏	arce1
暗疮	arch1
暗忖	arcn1
暗娼	arcs1
暗处	arcw1
暗淡	ardd1
奥地利	ardl1
暗道	ardm1
暗斗	ardn1
奥迪	ardo1
奥德赛	ards1
暗地	ardu1
暗点	ardy1
奥尔良	arel1
暗讽	arf1arfl2*
暗房	arf2arfl3*
暗访	arfl1
暗格	argc1
暗杠	argc2
暗沟	argd1
昂贵	argo1
暗合	arh2arhj2*
暗灰	arha1
暗河	arhd1
暗花	arhe1
暗黄	arhf1
暗号	arhi1
暗含	arhj1
暗话	arhl1
暗害	arhn1
暗黑	arho1
暗红色	arhs1
暗红	arhx1
澳人治澳	aria1arza1
爱如珍宝	arib1arzb1
暗指	arik1arzk1
暗中	ario1arzo1
暗自	arir1arzr1
奥组委	ariw1arzw1
暗紫	ariy1arzy1
暗礁	arja1
暗叫	arji1
暗箭	arjt1
暗亏	arkg1
暗扣	arkk1
奥卡姆	arkm1
翱	arl1arll1orll4
奥林	arlc1
暗流	arld1
奥莱	arle1
暗恋	arlh1
暗里	arlo1
暗绿	arlx1
黯然泪下	arlx2
暧	arm1arma2*orma1
暗码	arm2arma1
奥姆	arm3arms2*
暗骂	armi1
暗门	armj1
暧昧	armr1
奥妙	arms1
奥秘	armt1
奥尼尔	arne1
皑	aro1arob1orob1
安如磐石	arps1
暗器	arqi1arui1
昂起头	arqt1arut1
昂起	arqu1aruu1
黯然泣下	arqx1arux1
暗弱	arrb1
昂仁	arrj1
昂然	arrv1arrw1
昂仁县	arrx1
奥数	ars1arsm4*
昂首	ars2arsm2
奥赛	ars3arsn2*
暗沙	arsd1
暗事	arsf1
暗示	arsg1
暗哨	arsi1
暗伤	arsj1
奥斯卡	arsk1
奥斯陆	arsl1
昂然耸立	arsl2*
暗杀	arsm1
奥斯曼	arsm3
暗室	arsn1
暗射	arsr1
黯然失色	arss1
黯然神伤	arss2
暗算	arst1
暗色	arsw1
暗锁	arsy1
奥拓	art1artk2*
暗滩	artd1
暗叹	arti1
奥陶纪	artj1
暗探	artk1
奥特曼	artm1
昂头	artn1
安如泰山	arts1
奥威尔	arwe1
奥委会	arwh1
暗物质	arwi1arwz1
安然无事	arws1
安然无恙	arwy1
暗笑	arx1arxt2*
暗想	arxc1
黯然销魂	arxh1
暗许	arxl1
翱翔	arxm1
暗箱	arxt1
暗喜	arxu1
奥匈	arxw1
暗线	arxx1
奥运村	aryc1
暗涌	aryd1
矮人一等	aryd2
奥运	aryg1
奥运会	aryh1
暗喻	aryi1
昂扬	aryk1
暗语	aryl1
傲然屹立	aryl2
奥义	arym1
暗影	aryr1
暗月	aryv1
嫒	as1asm1asma1osma1
媪	as2asr1asro1osro2wsr1wsro1ysr1ysro1
碍手碍脚	asaj1
阿塞拜疆	asbj1
安神补脑	asbn1
安神定志	asdi1asdz1
安神定惊	asdj1
埃塞俄比亚	asey1
艾森豪威尔	ashe1
安身之处	asic1aszc1
安身之地	asid1aszd1
安史之乱	asil1aszl1
爱斯基摩	asjm1
爱斯基摩人	asjr1
昂首阔步	askb1
安身立命	aslm1
爱沙尼亚	asny1
阿司匹林	aspl1
暗送秋波	asqb1asub1
傲视群雄	asqx1asux1
爱啥啥吧	assb1
唉声叹气	astq1astu1
昂首挺胸	astx1
奥斯威辛	aswx1
奥斯维辛	aswx2
矮	at1att1atts1otts1
氨	at2atn1atns1otns1
矮矮	atat1
氨苄	atbe1
矮半截	atbj1
凹凸不平	atbp1
氨茶碱	atcj1
騃童钝夫	atdf1
矮凳	atdl1
矮的	atdr1
矮个儿	atge1
矮个子	atgi1atgz1
矮个	atgj1
矮化	athj1
安土重迁	atiq1atiu1atzq1atzu1
矮子	ativ1atzv1
奥体中心	atix1atzx1
氨基	atjf1
氨基酸	atjs1
暗通款曲	atkq1atku1
阿特拉斯山	atls1
氨纶	atlx1
岙	ato1atoi1ktoi1otoi1
ATP	atp1
矮胖	atpv1
氨气	atqt1atut1
矮墙	atqu1atuu1
矮人	atrj1
矮树	atsc1
氨水	atsd1
氨酸	atsf1
按图索骥	atsj1
阿图什市	atss1
氨糖	attm1*
昂头挺胸	attx1
安特卫普	atwp1
矮小	atxp1
矮一截	atyj1
哀痛欲绝	atyj2*
埃	au1aul1ault1oult1
坳	au2aux1auxn1auxz1*kux1kuxn1kuxz1*ouxn1ouxz1
埯	aua1auao1ouao1
埃博拉	aubl1
埃弗顿	aufd1
埃菲尔	aufe1
埃及	aujw1
埃米尔	aume1
垵	aun1auns1ouns1
毐	auxd1ouxd1
阿	av1avf1avfi1ev1evf1evfi1ovfi7
隘	av2avm1avmo1ovmo1
腌	ava1avao1ovao4yva1yvao1
阿伯	avbj1
阿波罗	avbl1
阿爸	avbm1
阿坝	avbu1
阿坝县	avbx1
阿昌族	avci1avcz1
阿城	avcu1
阿大	avda1
阿豆	avdd1
胺多酚	avdf1
阿道夫	avdf2
阿斗	avdn1
胺碘酮	avdt1
阿尔法	avef1
阿尔山	aves1
阿尔泰	avet1
阿富汗	avfh1
阿飞	avfn1avfz1
阿凡提	avft1
阿哥	avgf1
阿公	avgm1
阿根廷	avgt1
肮	avh1avhw2*ovhw2
阿合奇	avhq1avhu1
阿訇	avhw1
腌臜	avi1aviv2*avz1avzv2*
肮脏	aviv1avzv1
阿姐	avjs1
阿肯色	avk1avks2
隘口	avki1
阿克苏	avks1
阿克陶	avkt1
阿留申	avl1avls3
阿里山	avl2avls2
阿拉伯	avlb1
阿拉尔	avle1
阿罗汉	avlh1
阿拉	avlk1
阿兰	avlm1
阿里	avlo1
阿联酋	avlq1avlu1
阿拉善	avls1
阿勒泰	avlt1
阿盟	avm2avmr2*
阿妹	avm3avms2*
阿米巴	avmb1
阿穆尔	avme1
阿门	avmj1
阿玛尼	avmn1
阿曼	avmr1
阿妈	avms1
胺	avn1avns1ovns3
阿诺	avnl1
阿囡	avno1
阿婆	avpd1
阿婆主	avpi1avpz1
阿帕奇	avpq1avpu1
阿片	avpr1
阿奇	avqa1avua1
阿荣旗	avrq1
阿瑟	avsg1
阿诗玛	avsm1
阿斯旺	avsw1
阿是穴	avsx1
阿叔	avsy1
阿嚏	avti1
阿提拉	avtl1
阿托品	avtp1
阿图什	avts1
阿瓦提	avwd1
阿修罗	avxl1
阿姨	avys1
阿育王	avyw1
犴	aw1awg1awgi1hwg1hwgi1owgi2
安慰别人	awbr1
阿瓦提县	awdx1
安危祸福	awhf1
爱屋及乌	awjw1
安危冷暖	awln1
爱我所爱	awsa1
暗无天日	awtr1
安慰一下	awyx1
暗箱操作	axci1axcz1
奥匈帝国	axdg1
安心定志	axdi1axdz1
按需定制	axdi2axdz2
熬心费力	axfl1
按需分配	axfp1
安心工作	axgi1axgz1
爱惜公物	axgw1
按下葫芦浮起瓢	axhp1
安闲自得	axid1axzd1
安闲自在	axii1axzz1
爱惜自己	axij1axzj1
爱心助学	axix1axzx1
爱心捐款	axjk1
爱新觉罗	axjl1
暗下决心	axjx1
按下快门	axkm1
阿西莫夫	axmf1
爱惜人才	axrc1
爱惜生命	axsm1
暗香疏影	axsy1
安享天年	axtn1
安享晚年	axwn1
安下心来	axxl1
爱惜羽毛	axym1
铵	ay1ayn1ayns1oyns1
锿	ay2ayh1ayhi1ayhw1oyhi7oyhw5
奥运比赛	aybs1
奥运场馆	aycg1
阿以冲突	ayct1
按月发放	ayff1
奥运冠军	aygj1
按月支付	ayif1ayzf1
安营扎寨	ayii1ayzz1
奥运精神	ayjs1
按月领取	aylq1aylu1
碍于面子	aymi1aymz1
奥伊米亚康	aymk1
哎呀妈呀	aymy1
碍于情面	ayqm1ayum1
谙于世故	aysg1
遨游四海	aysh1
爱因斯坦	ayst1
锕	ayv1ayvf1oyvf1
锕系	ayxe1ayxw1
安于现状	ayxi1ayxz1
奥运项目	ayxm1
昂扬向上	ayxs1
爱乐乐团	ayyt1
铵盐	ayyu1
安于一隅	ayyy1
不	b1bakk1*oak9oakk12
比如	b2bsrs1
必须	b3blxq1
